  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:02 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:01 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:19 [rcu_sched]
    8 ?        S      0:07 [rcuos/0]
    9 ?        S      0:07 [rcuos/1]
   10 ?        S      0:07 [rcuos/2]
   11 ?        S      0:06 [rcuos/3]
   12 ?        S      0:00 [rcuos/4]
   13 ?        S      0:00 [rcuos/5]
   14 ?        S      0:00 [rcuos/6]
   15 ?        S      0:00 [rcuos/7]
   16 ?        S      0:00 [rcu_bh]
   17 ?        S      0:00 [rcuob/0]
   18 ?        S      0:00 [rcuob/1]
   19 ?        S      0:00 [rcuob/2]
   20 ?        S      0:00 [rcuob/3]
   21 ?        S      0:00 [rcuob/4]
   22 ?        S      0:00 [rcuob/5]
   23 ?        S      0:00 [rcuob/6]
   24 ?        S      0:00 [rcuob/7]
   25 ?        S      0:03 [migration/0]
   26 ?        S      0:00 [watchdog/0]
   27 ?        S      0:00 [watchdog/1]
   28 ?        S      0:03 [migration/1]
   29 ?        S      0:00 [ksoftirqd/1]
   31 ?        S<     0:00 [kworker/1:0H]
   32 ?        S      0:00 [watchdog/2]
   33 ?        S      0:01 [migration/2]
   34 ?        S      0:00 [ksoftirqd/2]
   36 ?        S<     0:00 [kworker/2:0H]
   37 ?        S      0:00 [watchdog/3]
   38 ?        S      0:01 [migration/3]
   39 ?        S      0:00 [ksoftirqd/3]
   41 ?        S<     0:00 [kworker/3:0H]
   42 ?        S<     0:00 [khelper]
   43 ?        S      0:00 [kdevtmpfs]
   44 ?        S<     0:00 [netns]
   45 ?        S<     0:00 [writeback]
   46 ?        S<     0:00 [kintegrityd]
   47 ?        S<     0:00 [bioset]
   49 ?        S<     0:00 [kblockd]
   50 ?        S<     0:00 [ata_sff]
   51 ?        S      0:00 [khubd]
   52 ?        S<     0:00 [md]
   53 ?        S<     0:00 [devfreq_wq]
   56 ?        S      0:00 [khungtaskd]
   57 ?        S      0:00 [kswapd0]
   58 ?        SN     0:00 [ksmd]
   59 ?        SN     0:02 [khugepaged]
   60 ?        S      0:00 [fsnotify_mark]
   61 ?        S      0:00 [ecryptfs-kthrea]
   62 ?        S<     0:00 [crypto]
   74 ?        S<     0:00 [kthrotld]
   94 ?        S<     0:00 [deferwq]
   95 ?        S<     0:00 [charger_manager]
  147 ?        S<     0:00 [kpsmoused]
  149 ?        S      0:00 [scsi_eh_0]
  150 ?        S      0:00 [scsi_eh_1]
  151 ?        S      0:00 [scsi_eh_2]
  152 ?        S      0:00 [scsi_eh_3]
  153 ?        S      0:00 [scsi_eh_4]
  154 ?        S      0:00 [scsi_eh_5]
  174 ?        S      0:00 [jbd2/sda6-8]
